Date,on_off,damper,active_energy,co2_1,amb_humid_1,active_power,pot_gen,high_pressure_1,high_pressure_2,low_pressure_1,low_pressure_2,high_pressure_3,low_pressure_3,outside_temp,outlet_temp,inlet_temp,summer_setpoint_temp,winter_setpoint_temp,amb_temp_2
01/06/22 00:00,0.0,0.0,363150.69,975.0,35.0,0.36,4.0,15.09,15.0,15.27,15.1,15.2,15.2,23.4,24.2,22.8,22.5,18.0,23.4
01/06/22 00:05,0.0,0.0,,977.0,35.0,0.36,,15.03,14.9,15.21,15.0,15.2,15.1,23.3,24.2,22.7,22.5,18.0,23.3
01/06/22 00:10,0.0,0.0,,975.0,35.0,0.36,,15.03,14.8,15.15,15.0,15.1,15.1,23.1,24.1,22.5,22.5,18.0,23.4
01/06/22 00:15,0.0,0.0,363150.78,975.0,35.0,0.36,4.0,14.96,14.8,15.15,14.9,15.1,15.0,23.1,23.9,22.3,22.5,18.0,23.3
01/06/22 00:20,0.0,0.0,,975.0,35.0,0.36,,14.9,14.7,15.09,14.9,15.0,14.9,22.9,23.9,22.2,22.5,18.0,23.3
01/06/22 00:25,0.0,0.0,,977.0,35.0,0.36,,14.9,14.7,14.96,14.9,15.0,14.9,22.9,23.8,22.0,22.5,18.0,23.3
01/06/22 00:30,0.0,0.0,363150.88,972.0,35.0,0.36,0.0,14.84,14.7,14.96,14.8,14.9,14.9,22.8,23.7,21.9,22.5,18.0,23.3
01/06/22 00:35,0.0,0.0,,972.0,35.0,0.36,,14.84,14.6,14.9,14.8,14.8,14.8,22.7,23.6,21.7,22.5,18.0,23.3
01/06/22 00:40,0.0,0.0,,977.0,36.0,0.36,,14.78,14.6,14.84,14.7,14.8,14.7,22.6,23.5,21.7,22.5,18.0,23.3
01/06/22 00:45,0.0,0.0,363150.97,980.0,36.0,0.36,4.0,14.84,14.5,14.84,14.7,14.8,14.7,22.5,23.4,21.6,22.5,18.0,23.3
01/06/22 00:50,0.0,0.0,,975.0,36.0,0.36,,14.78,14.5,14.78,14.7,14.7,14.6,22.3,23.3,21.6,22.5,18.0,23.3
01/06/22 00:55,0.0,0.0,,977.0,36.0,0.36,,14.72,14.5,14.78,14.6,14.7,14.6,22.2,23.2,21.6,22.5,18.0,23.3
01/06/22 01:00,0.0,0.0,363151.03,977.0,36.0,0.36,4.0,14.59,14.4,14.72,14.6,14.7,14.6,21.9,23.1,21.5,22.5,18.0,23.3
01/06/22 01:05,0.0,0.0,,972.0,36.0,0.36,,14.53,14.4,14.66,14.5,14.6,14.5,21.8,23.1,21.4,22.5,18.0,23.3
01/06/22 01:10,0.0,0.0,,972.0,36.0,0.36,,14.47,14.3,14.66,14.5,14.5,14.5,21.8,23.0,21.3,22.5,18.0,23.3
01/06/22 01:15,0.0,0.0,363151.13,975.0,36.0,0.36,4.0,14.41,14.3,14.59,14.5,14.5,14.4,21.7,22.9,21.3,22.5,18.0,23.3
01/06/22 01:20,0.0,0.0,,972.0,36.0,0.36,,14.41,14.2,14.59,14.4,14.5,14.4,21.6,22.8,21.2,22.5,18.0,23.3
01/06/22 01:25,0.0,0.0,,977.0,36.0,0.36,,14.35,14.2,14.53,14.4,14.4,14.4,21.6,22.7,21.2,22.5,18.0,23.3
01/06/22 01:30,0.0,0.0,363151.22,977.0,36.0,0.36,4.0,14.29,14.2,14.47,14.3,14.4,14.4,21.3,22.6,21.2,22.5,18.0,23.3
01/06/22 01:35,0.0,0.0,,975.0,36.0,0.36,,14.29,14.2,14.41,14.3,14.3,14.3,21.3,22.5,21.2,22.5,18.0,23.3
01/06/22 01:40,0.0,0.0,,972.0,36.0,0.36,,14.22,14.1,14.41,14.3,14.3,14.3,21.2,22.4,21.1,22.5,18.0,23.3
01/06/22 01:45,0.0,0.0,363151.31,975.0,36.0,0.36,0.0,14.16,14.1,14.35,14.2,14.2,14.3,21.2,22.4,21.1,22.5,18.0,23.3
01/06/22 01:50,0.0,0.0,,972.0,36.0,0.36,,14.1,14.1,14.29,14.2,14.2,14.2,21.2,22.3,21.0,22.5,18.0,23.3
01/06/22 01:55,0.0,0.0,,977.0,36.0,0.36,,14.1,14.0,14.29,14.2,14.1,14.1,21.2,22.2,20.6,22.5,18.0,23.3
01/06/22 02:00,0.0,0.0,363151.41,977.0,36.0,0.36,4.0,14.04,14.0,14.22,14.1,14.1,14.1,21.2,22.1,20.5,22.5,18.0,23.3
01/06/22 02:05,0.0,0.0,,975.0,36.0,0.36,,14.04,14.0,14.16,14.1,14.1,14.1,21.1,22.0,20.5,22.5,18.0,23.3
01/06/22 02:10,0.0,0.0,,975.0,36.0,0.36,,13.98,14.0,14.16,14.1,14.0,14.0,21.1,21.9,20.4,22.5,18.0,23.3
01/06/22 02:15,0.0,0.0,363151.5,977.0,36.0,0.36,4.0,13.98,13.9,14.16,14.1,14.0,13.9,21.1,21.9,20.4,22.5,18.0,23.3
01/06/22 02:20,0.0,0.0,,980.0,36.0,0.36,,13.98,13.9,14.16,14.0,14.0,13.9,21.0,21.8,20.3,22.5,18.0,23.3
01/06/22 02:25,0.0,0.0,,977.0,36.0,0.36,,13.98,13.9,14.1,14.0,13.9,13.9,20.8,21.8,20.2,22.5,18.0,23.3
01/06/22 02:30,0.0,0.0,363151.59,972.0,36.0,0.36,4.0,13.92,13.9,14.1,14.0,13.9,13.8,20.7,21.7,20.1,22.5,18.0,23.3
01/06/22 02:35,0.0,0.0,,975.0,36.0,0.36,,13.86,13.8,14.04,13.9,13.9,13.8,20.5,21.6,20.1,22.5,18.0,23.3
01/06/22 02:40,0.0,0.0,,977.0,36.0,0.36,,13.86,13.7,14.04,13.9,13.8,13.8,20.3,21.6,19.9,22.5,18.0,23.3
01/06/22 02:45,0.0,0.0,363151.69,977.0,37.0,0.36,4.0,13.79,13.7,13.92,13.8,13.8,13.8,20.1,21.5,19.7,22.5,18.0,23.3
01/06/22 02:50,0.0,0.0,,977.0,37.0,0.36,,13.73,13.6,13.86,13.8,13.8,13.7,20.0,21.4,19.6,22.5,18.0,23.3
01/06/22 02:55,0.0,0.0,,975.0,37.0,0.36,,13.67,13.6,13.86,13.7,13.7,13.7,19.9,21.3,19.4,22.5,18.0,23.3
01/06/22 03:00,0.0,0.0,363151.75,977.0,37.0,0.36,0.0,13.61,13.5,13.79,13.7,13.7,13.7,20.0,21.2,19.2,22.5,18.0,23.3
01/06/22 03:05,0.0,0.0,,977.0,37.0,0.36,,13.55,13.5,13.73,13.7,13.7,13.6,19.8,21.1,19.1,22.5,18.0,23.3
01/06/22 03:10,0.0,0.0,,975.0,37.0,0.36,,13.49,13.4,13.67,13.6,13.6,13.5,19.7,21.0,18.9,22.5,18.0,23.3
01/06/22 03:15,0.0,0.0,363151.84,975.0,37.0,0.36,4.0,13.49,13.3,13.61,13.5,13.6,13.5,19.5,20.9,18.7,22.5,18.0,23.3
01/06/22 03:20,0.0,0.0,,972.0,37.0,0.36,,13.42,13.3,13.55,13.5,13.5,13.5,19.3,20.7,18.5,22.5,18.0,23.3
01/06/22 03:25,0.0,0.0,,977.0,37.0,0.36,,13.36,13.2,13.55,13.4,13.5,13.4,19.2,20.6,18.4,22.5,18.0,23.3
01/06/22 03:30,0.0,0.0,363151.94,977.0,37.0,0.36,4.0,13.3,13.2,13.49,13.4,13.5,13.4,19.3,20.5,18.3,22.5,18.0,23.2
01/06/22 03:35,0.0,0.0,,977.0,37.0,0.36,,13.3,13.2,13.42,13.3,13.4,13.3,19.2,20.4,18.2,22.5,18.0,23.2
01/06/22 03:40,0.0,0.0,,975.0,37.0,0.36,,13.18,13.1,13.36,13.3,13.4,13.3,19.1,20.3,18.1,22.5,18.0,23.2
01/06/22 03:45,0.0,0.0,363152.03,975.0,37.0,0.36,4.0,13.18,13.1,13.36,13.2,13.3,13.2,18.8,20.2,18.0,22.5,18.0,23.2
01/06/22 03:50,0.0,0.0,,980.0,37.0,0.36,,13.12,13.0,13.3,13.2,13.2,13.2,18.5,20.0,18.0,22.5,18.0,23.2
01/06/22 03:55,0.0,0.0,,977.0,37.0,0.36,,13.12,13.0,13.24,13.1,13.2,13.2,18.6,19.9,17.9,22.5,18.0,23.2
01/06/22 04:00,0.0,0.0,363152.13,975.0,37.0,0.36,4.0,13.05,13.0,13.24,13.1,13.2,13.1,18.7,19.9,18.0,22.5,18.0,23.2
01/06/22 04:05,0.0,0.0,,977.0,37.0,0.36,,13.05,13.0,13.24,13.1,13.2,13.1,18.8,19.8,18.0,22.5,18.0,23.2
01/06/22 04:10,0.0,0.0,,977.0,37.0,0.36,,13.12,13.0,13.24,13.1,13.1,13.1,18.8,19.8,18.1,22.5,18.0,23.2
01/06/22 04:15,0.0,0.0,363152.22,977.0,37.0,0.36,0.0,13.12,13.0,13.3,13.2,13.1,13.1,19.0,19.7,18.1,22.5,18.0,23.2
01/06/22 04:20,0.0,0.0,,980.0,37.0,0.36,,13.18,13.0,13.36,13.2,13.2,13.1,19.1,19.7,18.2,22.5,18.0,23.2
01/06/22 04:25,0.0,0.0,,977.0,37.0,0.36,,13.24,13.0,13.36,13.2,13.2,13.1,19.0,19.7,18.2,22.5,18.0,23.2
01/06/22 04:30,0.0,0.0,363152.31,977.0,37.0,0.36,4.0,13.18,13.0,13.36,13.2,13.2,13.1,18.9,19.7,18.2,22.5,18.0,23.2
01/06/22 04:35,0.0,0.0,,975.0,37.0,0.36,,13.18,13.0,13.36,13.1,13.1,13.1,18.9,19.7,18.2,22.5,18.0,23.2
01/06/22 04:40,0.0,0.0,,975.0,37.0,0.36,,13.18,13.0,13.3,13.1,13.1,13.1,18.9,19.7,18.2,22.5,18.0,23.2
01/06/22 04:45,0.0,0.0,363152.41,977.0,37.0,0.36,4.0,13.12,13.0,13.3,13.1,13.1,13.1,18.8,19.6,18.2,22.5,18.0,23.2
01/06/22 04:50,0.0,0.0,,975.0,37.0,0.36,,13.18,13.0,13.3,13.1,13.1,13.1,18.8,19.6,18.2,22.5,18.0,23.2
01/06/22 04:55,0.0,0.0,,980.0,37.0,0.36,,13.18,13.0,13.3,13.1,13.1,13.0,18.7,19.6,18.2,22.5,18.0,23.2
01/06/22 05:00,0.0,0.0,363152.47,977.0,37.0,0.36,4.0,13.12,13.0,13.24,13.1,13.1,13.0,18.5,19.5,18.2,22.5,18.0,23.2
01/06/22 05:05,0.0,0.0,,977.0,37.0,0.36,,13.12,13.0,13.24,13.1,13.1,13.0,18.5,19.5,18.2,22.5,18.0,23.2
01/06/22 05:10,0.0,0.0,,977.0,37.0,0.36,,13.05,13.0,13.24,13.1,13.0,13.0,18.6,19.5,18.2,22.5,18.0,23.2
01/06/22 05:15,0.0,0.0,363152.56,975.0,37.0,0.36,4.0,13.05,13.0,13.24,13.1,13.0,13.0,18.5,19.4,18.2,22.5,18.0,23.2
01/06/22 05:20,0.0,0.0,,975.0,37.0,0.36,,13.12,13.0,13.24,13.1,13.0,13.0,18.5,19.5,18.3,22.5,18.0,23.2
01/06/22 05:25,0.0,0.0,,975.0,37.0,0.36,,13.12,12.9,13.24,13.1,13.0,13.0,18.6,19.4,18.2,22.5,18.0,23.2
01/06/22 05:30,0.0,0.0,363152.66,977.0,37.0,0.36,0.0,13.05,12.9,13.24,13.0,13.0,13.0,18.4,19.4,18.2,22.5,18.0,23.2
01/06/22 05:35,0.0,0.0,,975.0,38.0,0.36,,13.05,12.9,13.18,13.0,13.0,12.9,18.3,19.4,18.1,22.5,18.0,23.2
01/06/22 05:40,0.0,0.0,,977.0,38.0,0.36,,13.05,12.9,13.18,13.0,13.0,12.9,18.2,19.3,18.0,22.5,18.0,23.1
01/06/22 05:45,0.0,0.0,363152.75,980.0,38.0,0.36,4.0,12.99,12.8,13.12,13.0,13.0,12.9,18.2,19.2,17.9,22.5,18.0,23.2
01/06/22 05:50,0.0,0.0,,975.0,38.0,0.36,,12.93,12.8,13.05,12.9,12.9,12.8,17.9,19.1,17.8,22.5,18.0,23.2
01/06/22 05:55,0.0,0.0,,972.0,38.0,0.36,,12.81,12.7,12.99,12.8,12.8,12.8,17.8,19.0,17.6,22.5,18.0,23.2
01/06/22 06:00,0.0,0.0,363152.84,977.0,38.0,0.36,4.0,12.81,12.6,12.93,12.8,12.8,12.8,17.7,18.9,17.5,22.5,18.0,23.2
01/06/22 06:05,0.0,0.0,,972.0,38.0,0.36,,12.75,12.6,12.87,12.8,12.8,12.7,17.5,18.8,17.3,22.5,18.0,23.2
01/06/22 06:10,0.0,0.0,,972.0,38.0,0.36,,12.69,12.6,12.81,12.7,12.7,12.7,17.6,18.6,17.2,22.5,18.0,23.1
01/06/22 06:15,0.0,0.0,363152.94,977.0,38.0,0.36,4.0,12.62,12.5,12.75,12.6,12.7,12.6,17.5,18.5,17.0,22.5,18.0,23.1
01/06/22 06:20,0.0,0.0,,977.0,38.0,0.36,,12.56,12.5,12.69,12.6,12.6,12.6,17.4,18.4,16.7,22.5,18.0,23.1
01/06/22 06:25,0.0,0.0,,975.0,38.0,0.36,,12.5,12.4,12.62,12.6,12.6,12.5,17.5,18.3,16.5,22.5,18.0,23.1
01/06/22 06:30,0.0,0.0,363153.03,977.0,38.0,0.36,0.0,12.5,12.3,12.62,12.5,12.5,12.5,17.5,18.2,16.5,22.5,18.0,23.1
01/06/22 06:35,0.0,0.0,,977.0,38.0,0.36,,12.5,12.3,12.62,12.5,12.5,12.5,17.5,18.1,16.4,22.5,18.0,23.1
01/06/22 06:40,0.0,0.0,,975.0,38.0,0.36,,12.56,12.3,12.62,12.5,12.5,12.4,17.5,18.0,16.3,22.5,18.0,23.1
01/06/22 06:45,0.0,0.0,363153.13,977.0,38.0,0.36,4.0,12.56,12.3,12.69,12.4,12.5,12.4,17.5,17.9,16.2,22.5,18.0,23.1
01/06/22 06:50,0.0,0.0,,977.0,38.0,0.36,,12.56,12.3,12.69,12.4,12.5,12.4,17.5,17.9,16.2,22.5,18.0,23.1
01/06/22 06:55,0.0,0.0,,977.0,38.0,0.36,,12.56,12.3,12.69,12.4,12.5,12.4,17.5,17.9,16.2,22.5,18.0,23.1
01/06/22 07:00,0.0,0.0,363153.22,975.0,38.0,0.36,4.0,12.5,12.3,12.62,12.4,12.5,12.4,17.3,17.9,16.2,22.5,18.0,23.1
01/06/22 07:05,0.0,0.0,,980.0,38.0,0.36,,12.5,12.3,12.69,12.4,12.5,12.4,17.4,17.8,16.4,22.5,18.0,23.1
01/06/22 07:10,0.0,0.0,,977.0,38.0,0.36,,12.5,12.3,12.69,12.5,12.5,12.4,17.4,17.9,16.5,22.5,18.0,23.0
01/06/22 07:15,0.0,0.0,363153.28,977.0,38.0,0.36,4.0,12.5,12.3,12.69,12.5,12.5,12.4,17.4,17.9,16.6,22.5,18.0,23.0
01/06/22 07:20,0.0,0.0,,975.0,38.0,0.36,,12.56,12.4,12.62,12.5,12.5,12.4,17.4,18.0,16.8,22.5,18.0,23.0
